year,range,type,nhd_num,count,rate,total_pop
2017,full,homicide,1,6,0.7108962137158494,8440.050578744882
2017,full,homicide,3,1,0.2926122712959163,3417.491671047208
2017,full,homicide,4,1,0.10732410007904669,9317.571722133955
2017,full,homicide,5,2,0.16880372694553958,11848.07963775143
2017,full,homicide,15,2,0.1396169343219032,14324.90986651208
2017,full,homicide,16,10,0.5940111079843274,16834.702020864977
2017,full,homicide,17,2,0.5509480366054932,3630.1064113458337
2017,full,homicide,18,1,0.36603400548454296,2731.9866051140116
2017,full,homicide,19,2,0.38338245218013856,5216.722853711279
2017,full,homicide,21,1,0.4768462583048033,2097.1119780933527
2017,full,homicide,22,1,0.29457869121598707,3394.6786709931894
2017,full,homicide,23,1,0.6386869323466767,1565.7123221948182
2017,full,homicide,24,1,0.40405096903814575,2474.9352844779137
2017,full,homicide,27,1,0.17113506353701824,5843.337883727667
2017,full,homicide,30,1,0.20765136261047243,4815.764208953798
2017,full,homicide,31,1,0.2901715876786476,3446.2367869987897
2017,full,homicide,32,1,0.5492838218128387,1820.5524362607878
2017,full,homicide,33,2,1.919300544358136,1042.0462839335316
2017,full,homicide,35,2,0.35797295374060595,5587.01426770146
2017,full,homicide,36,2,0.3173322879067833,6302.5417715688045
2017,full,homicide,37,2,0.38394471316869927,5209.083316954625
2017,full,homicide,39,1,0.4728311967097283,2114.9196731490233
2017,full,homicide,47,1,0.39936213862185915,2503.993001066288
2017,full,homicide,48,5,0.6760450389878598,7395.956943173113
2017,full,homicide,50,15,2.899754488986757,5172.851721402579
2017,full,homicide,51,3,1.2622327716526223,2376.7406990012987
2017,full,homicide,52,6,2.46426713014355,2434.800970481834
2017,full,homicide,53,3,2.221598923490472,1350.3787602158811
2017,full,homicide,54,4,2.77414720632776,1441.884551359099
2017,full,homicide,55,7,2.189923450077761,3196.4587619496197
2017,full,homicide,56,9,1.89075759546194,4759.996745009064
2017,full,homicide,57,4,2.7208604905407445,1470.12315181402
2017,full,homicide,58,1,0.467298660015949,2139.959057374292
2017,full,homicide,59,11,2.002667572347772,5492.673947431252
2017,full,homicide,60,5,2.505988734080942,1995.2204620878804
2017,full,homicide,61,4,1.8764630874254087,2131.6699629238
2017,full,homicide,63,2,1.8805293302428079,1063.5303410778317
2017,full,homicide,64,4,0.8475236571918576,4719.6322675562815
2017,full,homicide,65,4,2.4209585783021677,1652.2380993421305
2017,full,homicide,66,3,4.443101603349566,675.2040056293918
2017,full,homicide,67,8,6.8676440151548395,1164.8827432444648
2017,full,homicide,68,5,1.5572535388881723,3210.780951937881
2017,full,homicide,69,4,1.2407901116053275,3223.752319257946
2017,full,homicide,70,6,1.8099376986547946,3315.0312325443015
2017,full,homicide,71,9,2.584690597807899,3482.0415285423283
2017,full,homicide,72,11,2.9783119070549606,3693.3673648966846
2017,full,homicide,73,1,0.2581417328191785,3873.8408899597553
2017,full,homicide,74,10,1.774525767567344,5635.308420293478
2017,full,homicide,75,1,1.4904949364515725,670.9180793198159
2017,full,homicide,76,11,3.1235438712925943,3521.6409479940958
2017,full,homicide,78,9,3.6981994799900764,2433.6166960967043
2017,full,homicide,79,4,1.4128988185394453,2831.0590592289664
2017,full,part 1,1,719,85.18906294361597,8440.050578744882
2017,full,part 1,2,292,74.6862100918025,3909.6909542080202
2017,full,part 1,3,122,35.69869709810179,3417.491671047208
2017,full,part 1,4,217,23.289329717153134,9317.571722133955
2017,full,part 1,5,653,55.11441684771867,11848.07963775143
2017,full,part 1,6,180,26.542838811046707,6781.49015187806
2017,full,part 1,7,230,34.11601019686968,6741.702756939136
2017,full,part 1,8,252,30.919505733128442,8150.194966732496
2017,full,part 1,9,257,27.2075282390402,9445.915032855853
2017,full,part 1,10,83,30.691035234598626,2704.3727709266846
2017,full,part 1,11,64,28.699725118439062,2229.986515058332
2017,full,part 1,12,177,57.60133851716455,3072.8452594422956
2017,full,part 1,13,234,47.271103645573376,4950.170018336616
2017,full,part 1,14,252,33.364685282950056,7552.896059498467
2017,full,part 1,15,791,55.21849752431271,14324.90986651208
2017,full,part 1,16,1290,76.62743292997823,16834.702020864977
2017,full,part 1,17,357,98.34422453408054,3630.1064113458337
2017,full,part 1,18,252,92.24056938210482,2731.9866051140116
2017,full,part 1,19,578,110.79752868006003,5216.722853711279
2017,full,part 1,20,95,33.916694539323174,2800.980499141995
2017,full,part 1,21,301,143.53072374974582,2097.1119780933527
2017,full,part 1,22,216,63.628997302653204,3394.6786709931894
2017,full,part 1,23,147,93.88697905496149,1565.7123221948182
2017,full,part 1,24,234,94.54792675492611,2474.9352844779137
2017,full,part 1,25,637,101.59140258453633,6270.2156264644445
2017,full,part 1,26,82,37.272805129767534,2199.9954045452714
2017,full,part 1,27,333,56.98797615782707,5843.337883727667
2017,full,part 1,28,65,38.67941997071125,1680.4802152984496
2017,full,part 1,29,142,147.530123132791,962.5152950776474
2017,full,part 1,30,444,92.19720499904976,4815.764208953798
2017,full,part 1,31,213,61.80654817555193,3446.2367869987897
2017,full,part 1,32,181,99.42037174812381,1820.5524362607878
2017,full,part 1,33,235,225.517813962081,1042.0462839335316
2017,full,part 1,34,153,197.92038483004953,773.0381088909977
2017,full,part 1,35,1522,272.4174177966011,5587.01426770146
2017,full,part 1,36,1053,167.0754495829214,6302.5417715688045
2017,full,part 1,37,383,73.5254125718059,5209.083316954625
2017,full,part 1,38,1223,72.58143179342783,16850.03960077213
2017,full,part 1,39,233,110.16966883336669,2114.9196731490233
2017,full,part 1,40,25,55.68280038687287,448.97167215558557
2017,full,part 1,41,81,91.9459230177116,880.9526006324055
2017,full,part 1,42,119,70.15851091636632,1696.1591465625038
2017,full,part 1,43,109,83.43116507743996,1306.4662335570563
2017,full,part 1,44,54,25.67923784415563,2102.8661492104966
2017,full,part 1,45,42,49.69419638375727,845.1691154367445
2017,full,part 1,46,291,68.58464981020332,4242.931921432775
2017,full,part 1,47,242,96.64563754648992,2503.993001066288
2017,full,part 1,48,570,77.06913444461603,7395.956943173113
2017,full,part 1,49,78,89.20509490986868,874.3895186570888
2017,full,part 1,50,683,132.03548773186367,5172.851721402579
2017,full,part 1,51,299,125.8025329080447,2376.7406990012987
2017,full,part 1,52,279,114.58842155167508,2434.800970481834
2017,full,part 1,53,214,158.47405654232037,1350.3787602158811
2017,full,part 1,54,108,74.90197457084952,1441.884551359099
2017,full,part 1,55,300,93.85386214618977,3196.4587619496197
2017,full,part 1,56,492,103.36141521858605,4759.996745009064
2017,full,part 1,57,180,122.4387220743335,1470.12315181402
2017,full,part 1,58,169,78.97347354269537,2139.959057374292
2017,full,part 1,59,562,102.31810687813164,5492.673947431252
2017,full,part 1,60,214,107.25631781866433,1995.2204620878804
2017,full,part 1,61,262,122.90833222636425,2131.6699629238
2017,full,part 1,62,213,154.63148406163103,1377.4685103268182
2017,full,part 1,63,212,199.33610900573765,1063.5303410778317
2017,full,part 1,64,209,44.283111088274566,4719.6322675562815
2017,full,part 1,65,275,166.44090225827404,1652.2380993421305
2017,full,part 1,66,155,229.56024950639426,675.2040056293918
2017,full,part 1,67,202,173.40801138265968,1164.8827432444648
2017,full,part 1,68,397,123.64593098772087,3210.780951937881
2017,full,part 1,69,477,147.9642208089353,3223.752319257946
2017,full,part 1,70,183,55.20309980897124,3315.0312325443015
2017,full,part 1,71,379,108.84419295213263,3482.0415285423283
2017,full,part 1,72,347,93.9522028861883,3693.3673648966846
2017,full,part 1,73,253,65.30985840325218,3873.8408899597553
2017,full,part 1,74,701,124.39425630647081,5635.308420293478
2017,full,part 1,75,57,84.95821137773962,670.9180793198159
2017,full,part 1,76,338,95.97798440880881,3521.6409479940958
2017,full,part 1,77,325,92.59296292444913,3509.9859615161304
2017,full,part 1,78,336,138.06611391962952,2433.6166960967043
2017,full,part 1,79,149,52.630480990594336,2831.0590592289664
2017,full,violent,1,152,18.009370747468186,8440.050578744882
2017,full,violent,2,66,16.88112967828413,3909.6909542080202
2017,full,violent,3,24,7.022694511101991,3417.491671047208
2017,full,violent,4,29,3.1123989022923544,9317.571722133955
2017,full,violent,5,144,12.15386834007885,11848.07963775143
2017,full,violent,6,16,2.3593634498708185,6781.49015187806
2017,full,violent,7,23,3.411601019686968,6741.702756939136
2017,full,violent,8,17,2.0858396724729507,8150.194966732496
2017,full,violent,9,25,2.646646715859942,9445.915032855853
2017,full,violent,10,9,3.327943579655273,2704.3727709266846
2017,full,violent,11,8,3.5874656398048828,2229.986515058332
2017,full,violent,12,17,5.532331947976256,3072.8452594422956
2017,full,violent,13,43,8.686570328032714,4950.170018336616
2017,full,violent,14,32,4.236785432755563,7552.896059498467
2017,full,violent,15,131,9.14490919808466,14324.90986651208
2017,full,violent,16,392,23.28523543298563,16834.702020864977
2017,full,violent,17,98,26.99645379366917,3630.1064113458337
2017,full,violent,18,78,28.55065242779435,2731.9866051140116
2017,full,violent,19,192,36.804715409293294,5216.722853711279
2017,full,violent,20,14,4.998249721584467,2800.980499141995
2017,full,violent,21,55,26.226544206764185,2097.1119780933527
2017,full,violent,22,43,12.666883722287443,3394.6786709931894
2017,full,violent,23,25,15.96717330866692,1565.7123221948182
2017,full,violent,24,42,16.97014069960212,2474.9352844779137
2017,full,violent,25,96,15.31047825449841,6270.2156264644445
2017,full,violent,26,5,2.2727320201077763,2199.9954045452714
2017,full,violent,27,39,6.674267477943712,5843.337883727667
2017,full,violent,28,7,4.165475996845827,1680.4802152984496
2017,full,violent,29,18,18.70100152387492,962.5152950776474
2017,full,violent,30,137,28.448236677634725,4815.764208953798
2017,full,violent,31,51,14.798750971611025,3446.2367869987897
2017,full,violent,32,29,15.929230832572323,1820.5524362607878
2017,full,violent,33,88,84.44922395175799,1042.0462839335316
2017,full,violent,34,43,55.62468331824921,773.0381088909977
2017,full,violent,35,170,30.427701067951503,5587.01426770146
2017,full,violent,36,233,36.969211541140254,6302.5417715688045
