cs_year,complaint,date_occur,crime,description,ileads_address,ileads_street,neighborhood,region,gw_source,gw_address,gw_score,x,y
2017,17-046628,09/21/2017 18:55,41016,ASSLT-AGGRAV-FIREARM-3RD-ADULT-DOMESTIC,2848,CALIFORNIA AVE,30,Southeast,NA,NA,NA,-90.22790978536881,38.60232457021948
2017,17-046689,09/21/2017 19:15,64701,LARCENY-FROM MTR VEH UNDER $500,1727,PARK AVE,32,Downtown,NA,NA,NA,-90.21093689140054,38.61696635256097
2017,17-046677,09/21/2017 20:15,71013,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,0,N 8TH ST / CHESTNUT ST,35,Downtown,NA,NA,NA,-90.1929075703687,38.627176439538836
2017,17-046633,09/21/2017 20:50,31111,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL,3459,WYOMING ST,25,South,NA,NA,NA,-90.24045685027141,38.59911286835005
2017,17-046646,09/21/2017 22:00,41013,AGG.ASSAULT-FIREARM/CITIZEN ADULT 3RD DEGREE,731,HODIAMONT AVE,48,North NonHayden,NA,NA,NA,-90.29469643778778,38.65575090963501
2017,17-047576,09/21/2017 22:00,65701,LARCENY-MTR VEH PARTS UNDER $500,3738,PENROSE ST,67,North NonHayden,NA,NA,NA,-90.2157326532802,38.66764568122271
2017,17-046649,09/21/2017 23:17,43012,AGG.ASSAULT-OTH DANG WEP/CTZEN ADLT 2ND DEGREE,660,ROSEDALE AVE,48,North NonHayden,NA,NA,NA,-90.29671999846059,38.656806127010015
2017,17-046885,09/21/2017 23:30,64601,"LARCENY-FROM MTR VEH $500 - $24,999",5544,BARTMER AVE,48,North NonHayden,NA,NA,NA,-90.27837160516286,38.6619131417824
2017,17-046721,09/22/2017 00:01,71030,AUTO THEFT-PERM RETNT/JOY RIDE,6250,FAUQUIER DR,45,Forest Park,NA,NA,NA,-90.30473486872029,38.64146188680331
2017,17-046660,09/22/2017 01:55,31112,ROBBERY-HIGHWAY     /FIREARM USED/ATTEMPT,4546,VIRGINIA AVE,16,Southeast,NA,NA,NA,-90.2427908434427,38.573887773537095
2017,17-046662,09/22/2017 02:10,31111,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL,6000,HARNEY AVE,76,North Hayden,NA,NA,NA,-90.25348196907238,38.70600634244994
2017,17-046663,09/22/2017 02:30,51221,BURGLARY-RESIDENCE/NIT/UNLAW ENT/OCCUPIED,5203,WELLS AVE,51,North NonHayden,NA,NA,NA,-90.26692464898377,38.66430728987965
2017,17-046664,09/22/2017 02:45,69703,LARCENY-ALL OTH/FRM PRSN/UNDER $500,3520,NATURAL BRIDGE AVE,59,North NonHayden,NA,NA,NA,-90.2163590364045,38.660595724437485
2017,17-046665,09/22/2017 03:08,83000,ARSON-KNOWINGLY BURNING/SUCCESS,3878,PAGE BLVD,58,North NonHayden,NA,NA,NA,-90.23392071783383,38.648777414550246
