cs_year,complaint,date_occur,crime,description,ileads_address,ileads_street,neighborhood,region,gw_source,gw_address,gw_score,x,y
2018,18-000063,01/01/2018 00:01,67601,"LARCENY-FROM BUILDING $500 - $24,999",2543,N GRAND BLVD,59,North NonHayden,NA,NA,NA,-90.22282239423949,38.65363936291925
2018,19-002822,01/01/2018 00:01,43025,ASSLT-AGGRAV-OTH-WPN-2ND-CHILD-DOMESTIC,5082,CABANNE AVE,51,North NonHayden,NA,NA,NA,-90.26556492981577,38.65650345215447
2018,18-057786,01/01/2018 00:01,21000,RAPE -- FORCIBLE,1600,PINE ST,36,Downtown,"city api, batch","1600 Pine St, 63103",100,-90.20374551564917,38.629794148755025
2018,18-003208,01/01/2018 00:01,71013,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,0,CHOUTEAU AVE / S TUCKER BLVD,35,Downtown,NA,NA,NA,-90.20135862627973,38.61894956890204
2018,18-000010,01/01/2018 00:01,41021,AGG.ASSAULT-FIREARM/CITIZEN CHILD 1ST DEGREE,4711,WASHINGTON AVE,38,Midtown,NA,NA,NA,-90.25821088173174,38.6503596127994
2018,18-000010,01/01/2018 00:01,41011,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,4711,WASHINGTON AVE,38,Midtown,NA,NA,NA,-90.25821088173174,38.6503596127994
2018,19-040247,01/01/2018 00:01,21000,RAPE -- FORCIBLE,2900,MOUNT PLEASANT ST,17,Southeast,"city api, batch","2900 Mt Pleasant St, 63111",100,-90.23696337091977,38.57256911525995
2018,18-001804,01/01/2018 00:01,31111,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL,6431,IDAHO AVE,1,South,NA,NA,NA,-90.25575831586808,38.5593112136972
2018,18-005259,01/01/2018 00:01,67701,LARCENY-FROM BUILDING UNDER $500,4201,BEETHOVEN AVE,5,South,NA,NA,NA,-90.26300821646757,38.58693304657103
2018,18-000003,01/01/2018 00:01,41011,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,3149,PESTALOZZI ST,25,South,NA,NA,NA,-90.23463749575808,38.60385028149922
2018,18-000018,01/01/2018 00:01,41011,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,4000,DE TONTY ST,27,South,NA,NA,NA,-90.24759765215624,38.61685895918203
2018,18-000016,01/01/2018 00:10,38411,ROBBERY CARJACKING /STRNGARM/INJURY/SUCCESS,801,N 1ST ST,35,Downtown,NA,NA,NA,-90.18375929895942,38.63094143662519
