cs_year,complaint,date_occur,crime,description,ileads_address,ileads_street,neighborhood,region,gw_source,gw_address,gw_score,x,y
2019,19-000005,01/01/2019 00:01,41021,AGG.ASSAULT-FIREARM/CITIZEN CHILD 1ST DEGREE,713,BIDDLE ST,62,North NonHayden,NA,NA,NA,-90.1886777917298,38.63611145625401
2019,19-000005,01/01/2019 00:01,41021,AGG.ASSAULT-FIREARM/CITIZEN CHILD 1ST DEGREE,713,BIDDLE ST,62,North NonHayden,NA,NA,NA,-90.1886777917298,38.63611145625401
2019,19-000005,01/01/2019 00:01,41011,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,713,BIDDLE ST,62,North NonHayden,NA,NA,NA,-90.1886777917298,38.63611145625401
2019,19-039212,01/01/2019 00:01,21000,RAPE -- FORCIBLE,2800,CHARITON ST,17,Southeast,"city api, batch",2800 Chariton St,100,-90.23339486344538,38.57774718082188
2019,19-003393,01/01/2019 00:01,69602,"LARCENY-ALL OTHER $500 - $24,999",8301,VULCAN ST,2,South,NA,NA,NA,-90.2620011118641,38.54129685702195
2019,19-000008,01/01/2019 00:13,41011,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,3211,UNIVERSITY ST,59,North NonHayden,NA,NA,NA,-90.21881587607841,38.65546406701661
2019,19-000008,01/01/2019 00:13,41011,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,3211,UNIVERSITY ST,59,North NonHayden,NA,NA,NA,-90.21881587607841,38.65546406701661
2019,19-000231,01/01/2019 00:23,71013,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,4315,S GRAND BLVD,16,Southeast,NA,NA,NA,-90.24585690332675,38.579208148854946
2019,19-000438,01/01/2019 00:30,67701,LARCENY-FROM BUILDING UNDER $500,1212,WASHINGTON AVE,36,Downtown,NA,NA,NA,-90.19688533439614,38.631961962738025
2019,19-000158,01/01/2019 00:30,67701,LARCENY-FROM BUILDING UNDER $500,0,S BROADWAY / OSAGE ST,18,Southeast,NA,NA,NA,-90.2273626684602,38.58285186062061
2019,19-000470,01/01/2019 01:00,21000,RAPE -- FORCIBLE,3600,HAMILTON AVE,50,North NonHayden,"city api, batch",3600 Hamilton Ave,100,-90.27286314385668,38.686588165805745
2019,19-000065,01/01/2019 01:00,64701,LARCENY-FROM MTR VEH UNDER $500,2405,MENARD ST,21,Southeast,NA,NA,NA,-90.20966873636775,38.60327201882723
2019,19-000130,01/01/2019 01:20,44013,"AGG.ASSAULT-HNDS,FST,FEET/CTZEN ADLT 3RD DEGRE",1551,S 7TH ST,21,Southeast,NA,NA,NA,-90.19984747945239,38.6106722313093
2019,19-000019,01/01/2019 01:28,41011,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,1800,LOCUST ST,36,Downtown,NA,NA,NA,-90.20569318449722,38.63212723762308
2019,19-000104,01/01/2019 01:30,71013,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,0,BAMBERGER AVE / MERAMEC ST,16,Southeast,NA,NA,NA,-90.25025563879309,38.5842182534627
2019,19-000021,01/01/2019 01:31,41011,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,721,N TUCKER BLVD,36,Downtown,NA,NA,NA,-90.19665948567773,38.63305425204915
2019,19-000021,01/01/2019 01:31,41011,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,721,N TUCKER BLVD,36,Downtown,NA,NA,NA,-90.19665948567773,38.63305425204915
2019,19-000112,01/01/2019 01:55,67701,LARCENY-FROM BUILDING UNDER $500,5331,PATTON AVE,50,North Hayden,NA,NA,NA,-90.26738042066619,38.668383118424586
2019,19-000043,01/01/2019 02:00,63701,LARCENY-SHOPLIFT UNDER $500,0,GOODFELLOW BLVD / NATURAL BRID,70,North Hayden,NA,NA,NA,-90.27112359389253,38.685967001567775
2019,19-000023,01/01/2019 02:05,43013,AGG.ASSAULT-OTH DANG WEP/CTZEN ADLT 3RD DEGREE,4142,FARLIN AVE,68,North Hayden,NA,NA,NA,-90.22826308188988,38.66977333111525
2019,19-000035,01/01/2019 02:20,51212,BURGLARY-RESIDENCE/NIT/FORCE ENT/UNOCCUPIED,3619,LEE AVE,67,North NonHayden,NA,NA,NA,-90.21390020746037,38.666490680979734
2019,19-000087,01/01/2019 02:30,67601,"LARCENY-FROM BUILDING $500 - $24,999",1234,WASHINGTON AVE,36,Downtown,NA,NA,NA,-90.19810666437463,38.63172897167127
2019,19-000026,01/01/2019 02:38,31211,ROBBERY-HIGHWAY    /KNIFE USED/SUCCESSFUL,1074,S TAYLOR AVE,39,Midtown,NA,NA,NA,-90.26114667183225,38.62862073374805
2019,19-000036,01/01/2019 02:55,41011,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,8551,N BROADWAY,74,North NonHayden,NA,NA,NA,-90.22955017046607,38.718653137715556
2019,19-000037,01/01/2019 03:00,31111,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL,1384,MONTCLAIR AVE,78,North NonHayden,NA,NA,NA,-90.2769995251406,38.66651816303219
2019,19-000075,01/01/2019 03:00,67601,"LARCENY-FROM BUILDING $500 - $24,999",220,S TUCKER BLVD,35,Downtown,NA,NA,NA,-90.19877342121531,38.625401348848285
2019,19-000396,01/01/2019 03:00,51322,BURGLARY-RESDNCE/UNK TIM/UNLW EN/UNOCCUPIED,6212,ALAMO AVE,45,Forest Park,NA,NA,NA,-90.30551147682701,38.63380206689155
2019,19-000051,01/01/2019 03:00,69702,LARCENY-ALL OTHER UNDER $500,3981,DOVER PL,3,South,NA,NA,NA,-90.2635793570987,38.571298243726
2019,19-000080,01/01/2019 04:50,21000,RAPE -- FORCIBLE,200,N 9TH ST,35,Downtown,"city api, batch","200 N Ninth St, 63101",100,-90.19335229055586,38.62841867514139
2019,19-000056,01/01/2019 05:00,21000,RAPE -- FORCIBLE,3600,OAK HILL AVE,15,South,"city api, batch",3600 Oak Hill Ave,100,-90.25684384052987,38.59239305022837
2019,19-000044,01/01/2019 05:45,41013,AGG.ASSAULT-FIREARM/CITIZEN ADULT 3RD DEGREE,1301,WASHINGTON AVE,36,Downtown,NA,NA,NA,-90.19850521330218,38.632441191732134
2019,19-000072,01/01/2019 06:15,71013,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,3601,LINDELL BLVD,77,Midtown,NA,NA,NA,-90.23281539335214,38.637431528143054
2019,19-002182,01/01/2019 07:10,51112,BURGLARY-RESIDENCE/DAY/FORCE ENT/UNOCCUPIED,3859,S COMPTON AVE,16,Southeast,NA,NA,NA,-90.23899441311048,38.58591538767971
2019,19-000059,01/01/2019 07:30,69602,"LARCENY-ALL OTHER $500 - $24,999",2355,S 11TH ST,21,Southeast,NA,NA,NA,-90.21054626167178,38.60390850255061
2019,19-008628,01/01/2019 08:00,65701,LARCENY-MTR VEH PARTS UNDER $500,0,RIDGE AVE / UNION BLVD,51,North NonHayden,NA,NA,NA,-90.26976777945517,38.6633353783086
2019,19-000055,01/01/2019 08:21,64701,LARCENY-FROM MTR VEH UNDER $500,0,LINDELL BLVD / N NEWSTEAD AVE,38,Midtown,NA,NA,NA,-90.25422686220539,38.6418142677727
2019,19-000058,01/01/2019 08:24,51130,BURGLARY-RESIDENCE/DAY/ATT FORCE ENTRY,851,GOODFELLOW BLVD,48,North NonHayden,NA,NA,NA,-90.28620757406804,38.65773197917965
2019,19-000060,01/01/2019 08:40,41011,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,851,GOODFELLOW BLVD,48,North NonHayden,NA,NA,NA,-90.28620757406804,38.65773197917965
2019,19-000412,01/01/2019 10:00,69702,LARCENY-ALL OTHER UNDER $500,5925,PAGE BLVD,78,North NonHayden,NA,NA,NA,-90.2866843895668,38.669117375889265
2019,19-000196,01/01/2019 10:30,65701,LARCENY-MTR VEH PARTS UNDER $500,5340,DELMAR BLVD,47,Forest Park,NA,NA,NA,-90.27516037410032,38.65263957251018
2019,19-000147,01/01/2019 11:00,44016,ASSLT-AGGRV-HND/FST/FT-3RD-ADUL-DOMESTIC,2900,CALIFORNIA AVE,30,Southeast,NA,NA,NA,-90.22798432699079,38.602044658432
2019,19-000092,01/01/2019 11:53,71030,AUTO THEFT-PERM RETNT/JOY RIDE,0,GRAVOIS AVE / HYDRAULIC AVE,15,South,NA,NA,NA,-90.25010063369325,38.59169511686912
2019,19-000227,01/01/2019 12:00,51112,BURGLARY-RESIDENCE/DAY/FORCE ENT/UNOCCUPIED,4709,ANDERSON AVE,69,North Hayden,NA,NA,NA,-90.2388430474984,38.680058854794204
2019,19-005990,01/01/2019 12:00,51322,BURGLARY-RESDNCE/UNK TIM/UNLW EN/UNOCCUPIED,4117,SHREVE AVE,69,North Hayden,NA,NA,NA,-90.24296245489882,38.678156836528075
2019,19-008600,01/01/2019 12:00,72113,AUTO THEFT-TRUCK/PERM RETNT/UNRECOV OVER 48HR,0,COTE BRILLIANTE AVE / UNION BL,50,North Hayden,NA,NA,NA,-90.26607191741336,38.66815809067717
2019,19-000232,01/01/2019 12:00,71013,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,3522,VISTA AVE,31,Midtown,NA,NA,NA,-90.23630976748903,38.6211753732657
2019,19-022434,01/01/2019 12:00,52312,BURGLARY-BUSINESS/UNK TIME/FORC ENT/UNOCCUPIED,4950,WINONA AVE,7,South,NA,NA,NA,-90.27612479460016,38.59025125368127
2019,19-000126,01/01/2019 12:30,71040,AUTO THEFT-PERM RETNT/ATTEMPT,4858,MARGARETTA AVE,69,North Hayden,NA,NA,NA,-90.2462079398472,38.67667564752353
2019,19-000105,01/01/2019 12:30,63601,"LARCENY-SHOPLIFT $500 - $24,999",4167,LINDELL BLVD,38,Midtown,NA,NA,NA,-90.24827981324206,38.640483584057
2019,19-000108,01/01/2019 13:25,63701,LARCENY-SHOPLIFT UNDER $500,2851,GRAVOIS AVE,24,South,NA,NA,NA,-90.22807450559255,38.60281372896426
2019,19-000114,01/01/2019 14:10,69703,LARCENY-ALL OTH/FRM PRSN/UNDER $500,4314,N GRAND BLVD,67,North NonHayden,NA,NA,NA,-90.21169536643244,38.66825637317712
2019,19-000121,01/01/2019 15:03,41011,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,3000,LOCUST ST,37,Midtown,NA,NA,NA,-90.2220566582054,38.63557493769861
2019,19-000121,01/01/2019 15:03,41021,AGG.ASSAULT-FIREARM/CITIZEN CHILD 1ST DEGREE,3000,LOCUST ST,37,Midtown,NA,NA,NA,-90.2220566582054,38.63557493769861
2019,19-000131,01/01/2019 15:06,64701,LARCENY-FROM MTR VEH UNDER $500,35,S GRAND BLVD,37,Midtown,NA,NA,NA,-90.2344096812014,38.63365403081503
